Title,Publisher,Developer,Other Sales,Release Date,Last Update,Year
Far Cry 5,Ubisoft,Ubisoft,150000,2018-03-27,2018-02-28,2018.0
Assassin's Creed Syndicate,Ubisoft,Ubisoft Quebec,80000,2015-10-23,2018-05-04,2015.0
NBA 2K17,2K Sports,Visual Concepts,30000,2016-09-16,2018-03-28,2016.0
The Elder Scrolls V: Skyrim Special Edition,Bethesda Softworks,Bethesda Softworks,80000,2016-10-28,2018-04-01,2016.0
NBA 2K18,2K Sports,Visual Concepts,40000,2017-09-19,2018-04-02,2017.0
Assassin's Creed Odyssey,Ubisoft,Ubisoft Quebec,90000,2018-10-05,2018-11-17,2018.0
Tom Clancy's Ghost Recon Wildlands,Ubisoft,Ubisoft Paris,220000,2017-03-07,2018-04-01,2017.0
Metal Gear Solid V: The Phantom Pain,Konami Digital Entertainment,Kojima Productions,500000,2015-09-01,2018-05-04,2015.0
Mafia III,2K Games,Hangar 13,40000,2016-10-07,2018-04-02,2016.0
Far Cry: Primal,Ubisoft,Ubisoft Montreal,70000,2016-02-23,2018-04-03,2016.0
Need for Speed (2015),Electronic Arts,Ghost Games,60000,2015-11-03,2018-04-03,2015.0
NBA 2K19,2K Sports,Visual Concepts,30000,2018-09-11,2018-09-26,2018.0
FIFA 16,EA Sports,EA Canada,50000,2015-09-22,2018-04-01,2015.0
Dying LightRead the review,Warner Bros. Interactive,Techland,130000,2015-01-27,2018-05-04,2015.0
No Man's Sky,Hello Games,Hello Games,40000,2016-08-09,2018-04-04,2016.0
Battlefield VRead the review,Electronic Arts,EA DICE,160000,2018-11-20,2018-12-19,2018.0
Need for Speed: Payback,Electronic Arts,Ghost Games,40000,2017-11-10,2018-04-04,2017.0
Destiny: The Taken King,Activision,Bungie,50000,2015-09-15,2018-04-20,2015.0
PlayStation VR Worlds,Sony Interactive Entertainment,SIE London Studio,90000,2016-10-13,2018-04-06,2016.0
Battlefield: Hardline,Electronic Arts,EA DICE,140000,2015-03-17,2018-04-11,2015.0
Rise of the Tomb Raider,Square Enix,Crystal Dynamics,50000,2016-10-11,2018-04-11,2016.0
Middle-Earth: Shadow of War,Warner Bros. Interactive Entertainment,Monolith Productions,60000,2017-10-10,2018-01-10,2017.0
Dragon Quest XI: Echoes of an Elusive Age,Square Enix,Square Enix,1430000,2018-09-04,2018-09-11,2018.0
Just Cause 3,Square Enix,Avalanche Studios,90000,2015-12-01,2018-04-04,2015.0
Dishonored 2,Bethesda Softworks,Arkane Studios,10000,2016-11-10,2018-04-25,2016.0
Call of Duty: Black Ops 3,Activision,Treyarch,70000,2015-11-06,2018-01-14,2015.0
Minecraft,Mojang,4J Studios,520000,2018-06-21,2019-01-26,2018.0
Forza Horizon 4,Microsoft Studios,Playground Games,10000,2018-10-02,2018-10-01,2018.0
Dragon Quest XI,Square Enix,Square Enix,1820000,2017-07-29,2018-01-05,2017.0
For Honor,Ubisoft,Ubisoft Montreal,70000,2017-02-14,2018-01-09,2017.0
Shadow of the Tomb Raider,Square Enix,Eidos Montreal,60000,2018-09-14,2018-09-12,2018.0
Titanfall 2,Electronic Arts,Respawn Entertainment,60000,2016-10-28,2018-06-29,2016.0
Persona 5,Atlus,Atlus,480000,2017-04-04,2017-12-31,2017.0
The Order: 1886Read the review,Sony Computer Entertainment,Ready at Dawn,70000,2015-02-20,2018-01-02,2015.0
Forza Motorsport 7Read the review,Microsoft Studios,Turn 10 Studios,10000,2017-10-03,2018-01-12,2017.0
Minecraft,Mojang,4J Studios,380000,2016-06-17,2018-08-05,2016.0
Dying Light,Warner Bros. Interactive Entertainment,Techland,10000,2016-02-06,2018-05-04,2016.0
The Sims 4,Electronic Arts,Maxis,10000,2017-11-17,2017-12-29,2017.0
Street Fighter VRead the review,Capcom,Capcom,120000,2016-02-16,2018-01-08,2016.0
Wolfenstein II: The New ColossusRead the review,Bethesda Softworks,MachineGames,10000,2017-10-27,2018-05-10,2017.0
FIFA 17,Electronic Arts,EA Canada,40000,2016-09-27,2018-03-28,2016.0
Fallout 76Read the review,Bethesda Softworks,Bethesda Game Studios,100000,2018-11-14,2018-12-02,2018.0
Lego Star Wars: The Force Awakens,Warner Bros. Interactive Entertainment,TT Fusion,20000,2016-06-28,2018-03-31,2016.0
The Last Guardian,Sony Interactive Entertainment,SIE Japan Studio,130000,2016-12-06,2018-04-04,2016.0
Dark Souls IIRead the review,Namco Bandai Games,From Software,410000,2015-04-07,2018-04-23,2015.0
Project CARSRead the review,Bandai Namco Games,Slightly Mad Studios,40000,2015-05-12,2018-01-05,2015.0
Battlefield: Hardline,Electronic Arts,EA DICE,10000,2015-03-17,2018-04-11,2015.0
Mad Max (2013),Warner Bros. Interactive Entertainment,Avalanche Studios,50000,2015-09-01,2018-01-05,2015.0
Shadow of the ColossusRead the review,Sony Interactive Entertainment,Bluepoint Games,50000,2018-02-06,2018-11-26,2018.0
LEGO Jurassic World,Warner Bros. Interactive Entertainment,Traveller's Tales,20000,2015-06-12,2018-04-06,2015.0
