Title,Publisher,Developer,NA Sales,Release Date,Last Update,Year
Monster Hunter: WorldRead the review,Capcom,Capcom,930000,2018-01-26,2018-01-30,2018.0
Overwatch,Blizzard Entertainment,Blizzard Entertainment,920000,2016-05-24,2018-03-24,2016.0
Final Fantasy X / X-2 HD Remaster,Square Enix,Square Enix,900000,2015-05-12,2019-03-22,2015.0
Injustice 2Read the review,Warner Bros. Interactive Entertainment,NetherRealm Studios,890000,2017-05-16,2018-01-06,2017.0
Minecraft: Story Mode,Mojang,Telltale Games,890000,2015-10-27,2018-01-13,2015.0
Ni no Kuni II: Revenant Kingdom,Namco Bandai Games,Level 5,890000,2018-03-23,2018-02-28,2018.0
Fortnite,Gearbox Software,Epic Games,890000,2017-07-21,2018-06-19,2017.0
LEGO Harry Potter Collection,Warner Bros. Interactive Entertainment,Traveller's Tales,880000,2016-10-18,2018-05-23,2016.0
Minecraft: Story Mode,Mojang,Telltale Games,870000,2015-10-27,2018-01-13,2015.0
LEGO Dimensions,Warner Bros. Interactive Entertainment,Traveller's Tales,870000,2015-09-27,2018-03-19,2015.0
Super Bomberman R,Konami Digital Entertainment,HexaDrive,870000,2017-03-03,2018-03-24,2017.0
Paper Mario: Color Splash,Nintendo,Intelligent Systems,870000,2016-10-07,2018-03-31,2016.0
Mario Party: Star Rush,Nintendo,"Nd Cube Co., Ltd.",870000,2016-11-04,2018-11-19,2016.0
For Honor,Ubisoft,Ubisoft Montreal,870000,2017-02-14,2018-01-05,2017.0
BioShock: The Collection,2K Games,"Blind Squirrel Digital, Inc",860000,2016-09-13,2018-04-26,2016.0
Dishonored 2,Bethesda Softworks,Arkane Studios,860000,2016-11-10,2019-07-16,2016.0
Plants vs. Zombies: Garden Warfare 2,Electronic Arts,PopCap Games,860000,2016-02-23,2018-05-23,2016.0
Until Dawn: Rush of Blood,Sony Interactive Entertainment,Supermassive Games Ltd.,850000,2016-10-13,2018-09-24,2016.0
Disney Infinity 3.0,Disney Interactive Studios,Avalanche Software,850000,2015-08-30,2018-03-20,2015.0
Farming Simulator 17,Focus Home Interactive,Giants Software,850000,2016-10-25,2018-04-06,2016.0
LEGO Jurassic World,Warner Bros. Interactive Entertainment,TT Fusion,850000,2015-06-12,2018-04-06,2015.0
Xenoblade Chronicles X,Nintendo,Monolith Soft,840000,2015-12-04,2018-01-06,2015.0
Metal Gear Solid V: The Phantom Pain,Konami Digital Entertainment,Kojima Productions,830000,2015-09-01,2018-05-04,2015.0
Guitar Hero Live,Activision,FreeStyleGames,830000,2015-10-20,2018-03-15,2015.0
FIFA 17,Electronic Arts,EA Canada,820000,2016-09-27,2018-03-28,2016.0
The Crew 2,Ubisoft,Ivory Tower,820000,2018-06-29,2018-07-19,2018.0
Pro Evolution Soccer 2016,Konami Digital Entertainment,PES Productions,820000,2015-09-15,2018-04-14,2015.0
Yokai Watch 3: Sukiyaki,Nintendo,Level 5,810000,2019-02-02,2018-09-09,2019.0
Madden NFL 16,EA Sports,EA Tiburon,810000,2015-08-25,2018-03-31,2015.0
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,Square Enix,Square Enix,810000,2015-10-13,2018-01-15,2015.0
LEGO Dimensions,Warner Bros. Interactive Entertainment,Traveller's Tales,810000,2015-09-27,2018-03-19,2015.0
Assassin's Creed The Ezio Collection,Ubisoft,Ubisoft,790000,2016-11-15,2018-01-14,2016.0
NBA 2K16,2K Sports,Visual Concepts,790000,2015-09-29,2018-03-28,2015.0
Destiny: The Collection,Activision,Bungie,780000,2016-09-19,2018-09-14,2016.0
Shadow of the Tomb Raider,Square Enix,Eidos Montreal,780000,2018-09-14,2018-09-12,2018.0
LEGO Jurassic World,Warner Bros. Interactive Entertainment,Traveller's Tales,780000,2015-06-12,2018-04-06,2015.0
F1 2016,Codemasters,Codemasters,780000,2017-01-01,2018-05-14,2017.0
Rare ReplayRead the review,Microsoft Studios,Rare Ltd.,780000,2015-08-04,2018-09-25,2015.0
Mass Effect: Andromeda,Electronic Arts,BioWare Corp.,780000,2017-03-21,2018-07-03,2017.0
Hitman,Square Enix,IO Interactive,780000,2017-01-31,2018-05-01,2017.0
Minecraft: Story Mode,Mojang,Telltale Games,770000,2015-10-27,2018-01-13,2015.0
Fortnite,Gearbox Software,Epic Games,770000,2017-07-21,2018-06-19,2017.0
Just Dance 2019,Ubisoft,Ubisoft Paris,760000,2018-10-23,2018-09-28,2018.0
Just Dance 2018,Ubisoft,Ubisoft Paris,760000,2017-10-24,2018-04-06,2017.0
Quantum Break,Microsoft Studios,Remedy Entertainment,760000,2016-04-05,2018-09-25,2016.0
Dark Souls II,Namco Bandai Games,From Software,750000,2015-04-07,2018-02-07,2015.0
LEGO City Undercover,Warner Bros. Interactive Entertainment,TT Fusion,750000,2017-04-04,2018-05-24,2017.0
Pro Evolution Soccer 2018,Konami Digital Entertainment,Konami Digital Entertainment,750000,2017-09-12,2018-04-24,2017.0
Pro Evolution Soccer 2017,Konami Digital Entertainment,PES Productions,750000,2016-09-13,2018-04-14,2016.0
Rock Band 4,Harmonix Music Systems,Harmonix Music Systems,750000,2015-10-06,2018-05-23,2015.0
FIFA 19,Electronic Arts,EA Sports,750000,2018-09-28,2018-09-12,2018.0
Need for Speed (2015),Electronic Arts,Ghost Games,740000,2015-11-03,2018-04-03,2015.0
Sonic Forces,Sega,Sonic Team,740000,2017-11-07,2018-02-11,2017.0
The Sims 4,Electronic Arts,Maxis,730000,2017-11-17,2017-12-29,2017.0
Need for Speed: Payback,Electronic Arts,Ghost Games,730000,2017-11-10,2018-04-04,2017.0
Monster Hunter Generations UltimateRead the review,Capcom,Capcom,720000,2018-08-28,2018-08-30,2018.0
WipEout Omega Collection,Sony Interactive Entertainment,Clever Beans / EPOS Game Studios,720000,2017-06-06,2018-09-24,2017.0
LEGO Dimensions,Warner Bros. Interactive Entertainment,Traveller's Tales,720000,2015-09-27,2018-03-19,2015.0
