Title,Publisher,Developer,Total Sales,Release Date,Last Update,Year
Ark: Survival Evolved,Studio Wildcard,Studio Wildcard,7000000,2017-08-29,2020-12-31,2017.0
Final Fantasy VII Remake,Square Enix,Square Enix,7000000,2020-04-10,2023-09-15,2020.0
Grim Dawn,Crate Entertainment,Crate Entertainment,7000000,2016-02-25,2022-02-28,2016.0
Mafia III,2K Games,Hangar 13,7000000,2016-10-07,2020-11-06,2016.0
Nioh,Koei Tecmo,Team Ninja,7000000,2017-02-07,2020-02-08,2017.0
Rise of the Tomb Raider,Square Enix,Crystal Dynamics,7000000,2015-11-10,2020-10-26,2015.0
Kingdom Hearts III,Square Enix,Square Enix,6700000,2019-01-29,2020-11-08,2019.0
Fallout 4,Bethesda Softworks,Bethesda Game Studios,6600000,2015-11-10,2018-03-24,2015.0
Dragon Quest XI,Square Enix,Square Enix,6500000,2018-09-04,2020-10-23,2018.0
The Legend of Zelda: Link's AwakeningRead the review,Nintendo,Nintendo,6460000,2019-09-20,2019-06-11,2019.0
Tekken 7Read the review,Namco Bandai Games,Namco Bandai Games,6230000,2017-06-02,2018-01-15,2017.0
Cuphead,Studio MDHR,Studio MDHR,6000000,2017-09-29,2020-11-23,2017.0
Metal Gear Solid V: The Phantom Pain,Konami,Kojima Productions,6000000,2015-09-01,2020-10-28,2015.0
Deep Rock Galactic,Coffee Stain Publishing,Ghost Ship Games,5810000,2020-05-13,2021-01-26,2020.0
DayZ,Bohemia Interactive,Bohemia Interactive,5800000,2018-12-13,2020-12-20,2018.0
God of War III Remastered,Sony Computer Entertainment,SCEA Santa Monica Studio,5620000,2015-07-14,2018-12-03,2015.0
Detroit: Become HumanRead the review,Sony Interactive Entertainment,Quantic Dream,5500000,2018-05-25,2018-06-05,2018.0
Dragon Ball Xenoverse,Bandai Namco Games,Dimps Corporation,5490000,2015-02-24,2020-10-27,2015.0
Slime Rancher,Monomi Park,Monomi Park,5300000,2017-08-01,2022-09-23,2017.0
Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment,5230000,2018-01-23,2020-03-03,2018.0
Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment,5230000,2018-01-23,2021-01-08,2018.0
Jump Force,Bandai Namco Entertainment,Spike Chunsoft,5120000,2019-02-15,2023-08-04,2019.0
Ace Combat 7: Skies Unknown,Bandai Namco Entertainment,Bandai Namco Studios,5000000,2019-01-18,2020-12-03,2019.0
Anthem,Electronic Arts,BioWare,5000000,2019-02-22,2023-12-20,2019.0
Batman: Arkham Knight,Warner Bros. Interactive Entertainment,Rocksteady Studios,5000000,2015-06-23,2020-11-09,2015.0
Cities: Skylines,Paradox Interactive,Colossal Order,5000000,2015-03-10,2018-01-14,2015.0
