game_id,game_name,released,tba,age rating,genre,subgenre,owned,numero_plataformas,rating_top,ratings_count,added,metacritic,suggestions_count,numero_stores
440079,DiRT 5,2020-11-05,False,Mature,Racing,Arcade,2170.0,5,4,236,2600,79.0,625,3
516113,Devil May Cry 5 Special Edition,2020-11-10,False,Mature,Adventure,Action,93.0,2,5,37,176,86.0,695,2
437059,Assassin's Creed Valhalla,2020-11-10,False,Mature,Adventure,"Action, RPG",2178.0,5,4,692,4179,82.0,465,4
442839,Observer: System Redux,2020-11-10,False,Mature,Indie,Adventure,469.0,4,4,93,771,80.0,54,4
663742,Marvel's Spider-Man Remastered,2020-11-12,False,Teen,Casual,"Adventure, Action",736.0,2,5,328,1362,0.0,883,2
499331,Sackboy: A Big Adventure,2020-11-12,False,Mature,Platformer,"Adventure, Action",501.0,3,4,134,843,81.0,298,3
795358,Apex Legends - Ascension Pack,2020-11-12,False,Teen,Shooter,no,2.0,5,0,2,2,0.0,0,1
452648,Demon's Souls (2020),2020-11-12,False,Mature,Action,RPG,80.0,1,5,191,721,92.0,564,1
517399,Overcooked! All You Can Eat,2020-11-12,False,Everyone,Action,"Casual, Strategy, Simulation, Family, Indie",510.0,6,4,88,672,86.0,644,3
274766,The Pathless,2020-11-12,False,Everyone 10+,Indie,"Adventure, Action",178.0,4,4,100,521,78.0,563,4
452646,Astro's Playroom,2020-11-12,False,Everyone 10+,Platformer,Action,1690.0,1,5,528,2463,83.0,147,1
452657,Bugsnax,2020-11-12,False,Mature,Casual,"Indie, Adventure, Action",926.0,7,4,167,1247,76.0,472,4
484498,Just Dance 2021,2020-11-12,False,Everyone,Casual,Family,123.0,6,4,29,166,70.0,331,3
398402,Godfall,2020-11-12,False,Mature,Action,RPG,411.0,5,3,96,713,60.0,711,3
452634,Marvel's Spider-Man: Miles Morales,2020-11-12,False,Teen,Action,no,2060.0,3,4,819,4024,86.0,1706,3
481910,Call of Duty: Black Ops Cold War,2020-11-13,False,Mature,Shooter,Action,1603.0,5,4,330,2425,76.0,460,3
520359,Mortal Kombat 11 Ultimate,2020-11-17,False,Mature,Action,Fighting,21.0,6,4,44,97,89.0,732,4
517383,Bridge Constructor: The Walking Dead,2020-11-18,False,Mature,Simulation,Puzzle,192.0,10,3,14,268,72.0,230,5
525714,Bridge Constructor: TWD,2020-11-19,False,Teen,Simulation,Puzzle,3.0,10,0,0,3,0.0,221,7
739495,Labyrinth of Galleria: The Moon Society,2020-11-26,False,Mature,RPG,no,5.0,5,0,1,11,84.0,407,1
795325,Dead by Daylight - A Binding of Kin,2020-12-01,False,Mature,Action,no,472.0,6,0,0,0,0.0,401,2
460524,Worms Rumble,2020-12-01,False,Mature,Shooter,"Action, Casual, Strategy, Indie, Platformer",1513.0,4,3,104,1711,67.0,844,3
487910,Immortals: Fenyx Rising,2020-12-03,False,Mature,Adventure,"Action, RPG",1083.0,6,4,361,2221,78.0,449,4
769960,Submerged: Hidden Depths,2020-12-03,False,Mature,Adventure,Action,42.0,5,4,15,129,0.0,587,3
295015,Haven,2020-12-03,False,Mature,Adventure,RPG,394.0,6,4,154,782,75.0,241,5
532522,CRSED,2020-12-04,False,Mature,Action,no,157.0,4,3,27,205,0.0,513,2
440083,Call of the Sea,2020-12-08,False,Mature,Casual,"Indie, Adventure, Puzzle",1233.0,5,4,210,1775,77.0,356,5
484505,Puyo Puyo Tetris 2,2020-12-08,False,Everyone 10+,Casual,"Family, Action, Puzzle",154.0,8,4,16,184,79.0,147,4
41494,Cyberpunk 2077,2020-12-10,False,Mature,Shooter,"Action, RPG",6495.0,5,5,2654,12805,73.0,623,5
532454,MXGP 2020 - The Official Motocross Videogame,2020-12-16,False,Mature,Racing,"Simulation, Sports",32.0,5,1,5,38,70.0,520,3
295068,Airborne Kingdom,2020-12-17,False,Mature,Strategy,"Indie, Simulation",93.0,7,4,21,166,76.0,293,4
520361,Override 2: Super Mech League,2020-12-22,False,Teen,Indie,"Action, Fighting",44.0,6,0,1,51,58.0,384,4
452645,Hitman 3,2021-01-20,False,Mature,Shooter,"Adventure, Action",1072.0,6,4,326,2165,83.0,228,5
546461,Resident Evil: Maiden (DEMO),2021-01-21,False,Mature,Shooter,"Adventure, Action, Puzzle",5.0,1,4,12,23,0.0,0,1
690207,BIOHAZARD VILLAGE Z Version,2021-01-22,False,Mature,Action,no,8.0,5,0,1,10,0.0,561,2
520300,Atelier Ryza 2: Lost Legends & the Secret Fairy,2021-01-26,False,Teen,Adventure,RPG,108.0,4,5,16,216,81.0,703,2
304191,Cyber Shadow,2021-01-26,False,Mature,Platformer,"Indie, Action",259.0,6,4,66,434,80.0,360,4
440081,The Medium,2021-01-28,False,Mature,Adventure,Action,1076.0,4,4,390,1992,74.0,528,4
620711,Immortals Fenyx Rising - A New God,2021-01-28,False,Teen,Adventure,"Action, Puzzle",2.0,6,5,6,15,0.0,323,4
452640,Destruction AllStars,2021-02-02,False,Teen,Racing,Action,450.0,1,3,71,573,62.0,263,1
409574,Werewolf: The Apocalypse - Earthblood,2021-02-04,False,Mature,Adventure,"Action, RPG",117.0,5,1,44,228,52.0,700,5
528650,The Nioh Collection,2021-02-05,False,Mature,Action,RPG,5.0,1,0,1,13,87.0,299,1
366881,Little Nightmares II,2021-02-10,False,Teen,Platformer,"Adventure, Action",968.0,6,5,482,2389,82.0,358,5
795354,Apex Legends - Mayhem Pack,2021-02-11,False,Teen,Shooter,no,2.0,5,0,2,2,0.0,0,1
795357,Apex Legends - Gibraltar Edition,2021-02-16,False,Mature,Shooter,no,1.0,5,0,2,1,0.0,278,2
559370,Jitsu Squad,2021-02-18,False,Mature,Indie,"Action, Fighting",22.0,2,4,5,64,0.0,453,3
323105,Voyage,2021-02-19,False,Mature,Indie,Adventure,26.0,6,3,9,74,69.0,245,1
560734,Blizzard Arcade Collection,2021-02-19,False,Mature,Racing,"Platformer, Arcade, Puzzle",28.0,6,3,6,39,0.0,284,1
566567,Sakura Succubus 4,2021-03-01,False,Mature,Simulation,no,52.0,5,0,2,65,0.0,341,3
490123,Maquette,2021-03-02,False,Mature,Indie,"Adventure, Puzzle",357.0,5,3,92,568,70.0,254,2
566448,Bang-On Balls: Chronicles,2021-03-03,False,Mature,Casual,"Indie, Action",104.0,4,5,6,119,0.0,180,5
566445,Gnosia,2021-03-04,False,Mature,Adventure,RPG,53.0,7,4,14,91,82.0,233,4
569557,FNF - Whitty and Carol test,2021-03-06,False,Mature,Arcade,no,10.0,8,0,3,17,0.0,18,1
522977,Monster Energy Supercross - The Official Videogame 4,2021-03-08,False,Mature,Racing,"Arcade, Simulation, Sports",20.0,5,0,2,22,65.0,63,3
563431,Doodle Devil: 3volution,2021-03-11,False,Mature,Simulation,Puzzle,4.0,5,0,0,4,0.0,183,2
570176,Pinkman+,2021-03-12,False,Mature,Platformer,no,11.0,3,0,0,13,0.0,82,2
799245,Assassin's Creed Valhalla - Wrath Of The Druids,2021-03-13,False,Mature,Adventure,"Action, RPG",2.0,5,0,3,9,0.0,140,0
64551,Mundaun,2021-03-15,False,Mature,Indie,"Adventure, Action",97.0,7,5,37,220,73.0,395,5
